uid,u_age,u_gender,u_occupation
1,1,0,19
2,7,1,13
3,1,0,20
4,1,0,19
5,3,1,13
6,5,0,6
7,8,0,0
8,4,0,0
9,2,0,18
10,7,0,9
11,4,1,13
12,2,1,13
13,6,0,3
14,6,0,17
15,6,1,3
16,1,0,5
17,3,0,14
18,4,1,13
19,5,0,10
20,5,1,8
21,2,0,20
22,2,0,20
23,3,1,1
24,1,1,1
25,4,0,4
26,6,0,4
27,5,1,10
28,3,0,20
29,5,0,14
30,0,0,18
31,1,0,1
32,2,1,18
33,1,0,18
34,4,1,0
35,1,1,8
36,0,1,18
37,1,0,18
38,2,1,13
39,5,0,5
40,4,0,17
41,3,0,4
42,3,0,0
43,2,1,10
44,2,0,19
45,2,0,14
46,2,1,11
47,7,0,11
48,6,0,0
49,1,1,18
50,1,0,20
51,2,0,3
52,0,1,18
53,2,0,14
54,1,0,6
55,4,0,14
56,2,0,10
57,0,0,12
58,2,0,14
59,6,0,3
60,7,0,7
61,4,0,4
62,2,1,0
63,3,0,11
64,3,0,3
65,7,1,3
66,1,0,18
67,0,0,18
68,0,0,18
69,1,0,4
70,2,0,4
71,4,0,17
72,6,1,0
73,1,0,18
74,4,0,17
75,1,0,5
76,1,0,18
77,3,0,19
78,2,0,0
79,4,1,0
80,3,1,0
81,1,0,18
82,7,0,14
83,5,0,13
84,3,0,6
85,7,0,3
86,2,0,0
87,6,0,0
88,6,1,10
89,5,1,0
90,8,0,3
91,8,0,11
92,3,0,5
93,6,0,6
94,2,0,18
95,3,0,0
96,2,1,1
97,5,0,1
98,6,1,6
99,1,0,18
100,4,0,6
101,0,0,18
102,4,0,14
103,2,0,18
104,2,0,18
105,1,0,4
106,8,0,15
107,4,0,17
108,5,0,3
109,2,0,13
110,0,0,18
111,8,0,4
112,3,0,16
113,6,0,6
114,2,0,14
115,3,0,4
116,5,0,7
117,1,0,18
118,1,0,0
119,3,0,14
120,6,1,13
121,7,0,10
122,3,1,20
123,6,1,1
124,3,0,18
125,3,0,9
126,2,1,9
127,3,0,12
128,1,1,11
129,4,1,11
130,1,0,12
131,8,1,0
132,1,0,13
133,7,0,4
134,3,0,14
135,1,0,18
136,7,0,13
137,7,0,3
138,6,0,2
139,1,0,18
140,3,1,18
141,6,0,14
142,0,0,13
143,5,0,19
144,7,0,14
145,3,0,5
146,6,0,1
147,5,1,10
148,3,0,4
149,4,1,11
150,1,1,1
151,4,1,0
152,3,1,3
153,2,0,18
154,2,0,18
155,3,1,13
156,2,0,3
157,8,0,4
158,7,0,3
159,1,1,18
160,2,0,14
161,7,0,9
162,2,0,1
163,6,0,0
164,6,0,7
165,1,1,13
166,6,0,3
167,4,0,13
168,6,0,13
169,7,1,13
170,7,1,7
171,6,1,3
172,8,0,11
173,8,0,13
174,3,1,0
175,2,1,17
176,2,0,17
177,1,0,14
178,2,0,13
179,0,0,5
180,1,1,0
181,2,0,6
182,4,0,14
183,3,0,17
184,4,0,10
185,7,1,10
186,4,1,6
187,2,0,3
188,5,0,18
189,3,0,1
190,3,0,0
191,3,0,0
192,5,0,3
193,2,0,18
194,4,0,0
195,5,0,17
196,6,0,20
197,8,0,19
198,1,1,18
199,3,0,20
200,5,0,14
201,2,0,20
202,5,1,3
203,2,1,18
204,7,1,10
205,6,0,9
206,0,1,18
207,4,0,11
208,5,0,4
209,3,1,3
210,4,0,4
211,8,0,16
212,6,1,3
213,3,0,6
214,2,1,10
215,4,0,14
216,1,0,4
217,1,0,13
218,4,0,0
219,3,0,14
220,3,0,10
221,0,0,18
222,2,0,14
223,0,1,18
224,3,1,3
225,7,1,0
226,2,0,18
227,6,0,6
228,1,1,18
229,2,1,10
230,2,1,18
231,6,0,10
232,6,0,17
233,4,0,4
234,8,0,15
235,4,0,3
236,5,1,20
237,6,0,0
238,5,1,0
239,4,0,1
240,1,1,3
241,2,1,18
242,3,0,3
243,3,0,3
244,2,0,19
245,1,0,18
246,0,0,18
247,2,0,4
248,2,0,18
249,2,0,18
250,2,0,6
251,2,0,2
252,5,0,4
253,2,1,10
254,5,0,3
255,1,0,5
256,4,1,12
257,0,0,18
258,0,1,18
259,1,0,18
260,5,1,1
261,2,0,0
262,0,1,18
263,5,0,14
264,4,1,20
265,2,0,6
266,8,1,0
267,1,0,4
268,1,0,4
269,3,1,10
270,0,1,18
271,7,0,4
272,3,0,17
273,7,1,13
274,1,1,18
275,4,0,4
276,1,0,18
277,4,1,0
278,4,1,10
279,3,0,14
280,3,1,10
281,0,1,18
282,1,0,0
283,2,0,14
284,5,0,6
285,2,0,14
286,2,0,18
287,1,0,16
288,3,0,11
289,0,0,12
290,5,0,4
291,0,0,18
292,4,1,14
293,1,0,20
294,3,0,19
295,3,0,3
296,5,1,0
297,2,1,3
298,5,0,6
299,2,0,2
300,2,1,14
301,1,0,18
302,5,0,3
303,0,0,18
304,1,1,18
305,1,0,14
306,6,0,13
307,2,0,18
308,8,0,15
309,5,0,17
310,4,0,3
311,3,0,19
312,6,0,13
313,5,0,11
314,1,1,18
315,3,0,3
316,5,1,13
317,1,0,0
318,8,0,15
319,4,0,14
320,0,0,18
321,6,1,3
322,1,0,18
323,1,0,18
324,1,1,18
325,6,0,19
326,5,0,0
327,1,0,18
328,7,0,0
329,6,0,3
330,4,1,3
331,3,0,5
332,1,0,18
333,6,0,13
334,3,0,10
335,6,0,6
336,1,0,16
337,4,0,17
338,4,1,10
339,4,0,9
340,6,0,4
341,0,1,18
342,2,1,13
343,5,0,4
344,3,1,10
345,2,1,10
346,3,0,13
347,0,0,18
348,1,1,18
349,8,0,15
350,3,0,18
351,8,0,3
352,4,1,14
353,2,0,17
354,2,1,10
355,2,0,18
356,3,1,8
357,2,0,6
358,5,0,3
359,1,0,18
360,7,0,13
361,1,0,18
362,4,1,8
363,1,0,18
364,8,0,4
365,2,0,9
366,1,1,18
367,0,0,18
368,0,0,18
369,1,0,18
370,7,0,20
371,4,0,4
372,2,1,18
373,1,1,13
374,4,0,6
375,0,0,5
376,2,1,13
377,1,0,18
378,4,0,18
379,5,0,14
380,3,0,4
381,3,0,1
382,6,0,4
383,5,0,0
384,7,0,14
385,4,0,20
386,4,0,16
387,3,0,5
388,3,0,13
389,5,1,20
390,5,1,20
391,1,0,18
392,7,0,20
393,0,0,18
394,2,0,0
395,5,0,13
396,8,0,4
397,0,0,18
398,5,0,13
399,2,0,13
400,3,1,0
401,6,1,7
402,3,0,4
403,4,0,13
404,2,1,14
405,1,1,7
406,7,0,3
407,2,0,4
408,1,0,18
409,6,0,0
410,3,1,1
411,3,0,3
412,2,0,3
413,8,0,3
414,1,0,14
415,4,0,3
416,1,1,18
417,2,1,13
418,8,1,12
419,4,0,9
420,7,0,3
421,4,1,14
422,2,0,5
423,8,0,13
424,4,1,11
425,0,0,18
426,8,0,3
427,7,0,2
428,2,0,18
429,2,0,18
430,4,0,17
431,1,0,11
432,1,0,5
433,2,0,1
434,0,1,18
435,1,0,4
436,3,1,0
437,2,1,13
438,7,1,0
439,1,1,0
440,3,0,13
441,7,0,19
442,1,0,18
443,4,0,16
444,7,1,9
445,1,0,20
446,8,0,3
447,3,0,0
448,1,0,5
449,1,0,10
450,4,1,3
451,0,0,18
452,4,0,0
453,0,0,18
454,8,0,13
455,6,0,0
456,1,0,19
457,3,1,16
458,6,0,19
459,1,0,18
460,5,1,13
461,0,0,18
462,0,1,18
463,6,1,7
464,8,0,20
465,3,0,13
466,1,0,18
467,2,0,4
468,2,0,4
469,8,0,3
470,1,0,14
471,0,0,18
472,1,0,18
473,2,0,18
474,7,0,6
475,3,0,14
476,2,0,18
477,1,1,18
478,2,0,13
479,3,0,3
480,8,0,15
481,8,0,15
482,0,1,18
483,2,0,17
484,2,0,18
485,5,1,3
486,4,0,3
487,1,0,4
488,6,0,19
489,8,0,13
490,2,1,1
491,5,1,20
492,8,0,3
493,1,0,4
494,4,1,0
495,2,0,4
496,1,1,18
497,1,0,18
498,2,0,20
499,5,0,14
500,2,0,0
501,1,0,18
502,1,0,18
503,7,1,20
504,5,1,20
505,2,1,13
506,6,0,14
507,0,1,20
508,2,0,11
509,1,0,0
510,3,0,13
511,1,0,18
512,2,0,13
513,5,0,0
514,2,0,14
515,7,0,11
516,7,1,10
517,1,0,18
518,6,1,20
519,1,0,13
520,8,0,7
521,0,0,18
522,4,0,4
523,7,1,0
524,8,0,3
525,2,1,0
526,3,0,11
527,3,0,10
528,0,0,18
529,6,1,0
530,2,0,4
531,3,1,16
532,1,0,18
533,5,0,10
534,1,0,18
535,6,1,3
536,4,0,4
537,4,0,4
538,3,0,17
539,7,1,0
540,2,0,4
541,0,1,18
542,1,0,18
543,3,0,17
544,5,1,13
545,2,0,19
546,4,0,6
547,7,0,3
548,7,0,20
549,5,0,17
550,0,1,18
551,2,0,14
552,6,0,13
553,8,0,3
554,3,0,17
555,2,1,3
556,4,1,3
557,3,1,20
558,8,1,20
559,8,0,6
560,3,0,18
561,1,0,4
562,7,1,0
563,4,1,10
564,8,0,15
565,5,0,18
566,1,0,18
567,1,0,5
568,4,0,3
569,3,0,3
570,2,0,3
571,3,0,1
572,7,0,3
573,8,0,15
574,8,0,3
575,3,0,11
576,6,0,6
577,4,1,18
578,3,0,0
579,3,0,3
580,0,0,18
581,4,0,13
582,0,0,18
583,5,0,4
584,2,0,18
585,8,0,10
586,1,0,18
587,2,0,13
588,0,1,18
589,1,0,9
590,7,0,3
591,8,1,10
592,0,0,18
593,3,1,3
594,6,0,3
595,2,0,14
596,1,0,1
597,1,0,13
598,5,1,11
599,1,1,18
600,3,0,14
601,0,1,1
602,6,1,13
603,1,0,14
604,4,0,3
605,3,0,4
606,2,0,14
607,6,1,7
608,1,0,13
609,0,1,18
610,1,0,18
611,6,0,10
612,4,0,3
613,4,1,11
614,7,0,3
615,4,0,3
616,8,0,17
617,2,1,20
618,0,1,18
619,0,0,18
620,0,1,20
621,0,0,18
622,2,0,14
623,7,1,3
624,0,0,18
625,2,0,14
626,1,0,17
627,1,0,4
628,0,0,12
629,6,1,13
630,2,1,7
631,0,1,18
632,0,0,18
633,4,0,14
634,4,0,4
635,1,0,13
636,6,0,3
637,3,0,13
638,6,0,4
639,5,1,10
640,1,0,18
641,1,0,18
642,0,1,18
643,4,0,17
644,7,0,15
645,2,0,14
646,0,1,18
647,5,0,3
648,5,0,4
649,1,0,18
650,5,0,4
651,8,0,15
652,4,0,13
653,3,0,6
654,2,1,18
655,7,1,7
656,6,0,3
657,2,1,12
658,3,0,14
659,3,0,3
660,2,0,18
661,2,0,14
662,8,0,10
663,2,0,13
664,3,0,4
665,2,0,0
666,5,0,0
667,4,0,10
668,2,1,20
669,4,0,13
670,3,0,19
671,1,0,14
672,7,1,0
673,7,0,3
674,0,1,18
675,3,0,13
676,3,0,14
677,1,0,13
678,7,0,3
679,1,1,18
680,3,0,9
681,5,1,11
682,1,0,14
683,5,0,10
684,2,0,18
685,3,1,10
686,3,0,3
687,3,1,7
688,4,1,0
689,2,0,13
690,4,0,16
691,3,0,3
692,3,0,4
693,5,1,7
694,8,0,14
695,2,0,20
696,8,0,13
697,2,0,13
698,2,1,14
699,5,0,13
700,0,0,18
701,7,1,10
702,4,0,13
703,2,0,3
704,7,1,10
705,1,1,18
706,1,0,18
707,8,1,10
708,2,1,8
709,1,0,13
710,0,0,18
711,1,1,18
712,1,1,18
713,5,1,13
714,2,0,4
715,1,0,19
716,4,1,0
717,1,0,19
718,5,0,19
719,4,1,13
720,6,1,0
721,1,1,5
722,7,1,8
723,2,0,6
724,3,0,6
725,1,0,18
726,2,1,0
727,2,0,18
728,8,0,6
729,0,0,18
730,3,1,17
731,5,1,3
732,2,1,13
733,5,1,13
734,2,1,13
735,2,1,7
736,6,1,20
737,3,0,14
738,4,0,19
739,4,0,19
740,2,1,3
741,2,0,20
742,4,0,18
743,3,0,14
744,4,0,11
745,5,0,20
746,2,0,4
747,0,0,13
748,2,0,0
749,3,0,13
750,2,0,0
751,1,1,13
752,8,0,15
753,8,0,16
754,8,1,10
755,5,1,3
756,3,1,12
757,2,0,18
758,2,0,18
759,1,1,18
760,4,1,13
761,0,0,18
762,3,0,0
763,2,0,17
764,2,1,3
